Date;Rt+40;Rt;Rt-1;Rt-2;Rt-3;Rt-4;Rt-5;Rt-6;Rt-7;Rt-8;Rt-9;Rt-10;Rt-11;Rt-12;Rt-13;Rt-14;Rt-15;Rt-16;Rt-17;Rt-18;Rt-19;Rt-20;AvgVol;AvgVol-1;AvgVol-2;AvgVol-3;AvgVol-4;AvgVol-5;AvgVol-6;AvgVol-7;AvgVol-8;AvgVol-9;AvgVol-10;AvgVol-11;AvgVol-12;AvgVol-13;AvgVol-14;AvgVol-15;AvgVol-16;AvgVol-17;AvgVol-18;AvgVol-19;AvgVol-20;DayOfWeek;DayOfMonth
03.01.2011;0.032742890867200725;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;0.04952503524374263;0.053585166208948376;0.05297912017835249;0.05337233902443428;0.060401921365336626;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;183619175.0;185385227.5;186489997.5;183902930.0;185770670.0;0;3
04.01.2011;0.05111020517010445;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;0.04952503524374263;0.053585166208948376;0.05297912017835249;0.05337233902443428;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;183619175.0;185385227.5;186489997.5;183902930.0;1;4
05.01.2011;0.03784054916928925;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;0.04952503524374263;0.053585166208948376;0.05297912017835249;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;183619175.0;185385227.5;186489997.5;2;5
06.01.2011;0.031713811583166766;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;0.04952503524374263;0.053585166208948376;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;183619175.0;185385227.5;3;6
07.01.2011;0.04278764674637037;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;0.04952503524374263;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;183619175.0;4;7
10.01.2011;0.04260478591436212;0.049390202918742084;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;0.05976502699818465;146014340.0;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;181114360.0;0;10
11.01.2011;0.019696959591609442;0.06572548084320284;0.049390202918742084;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;0.058283965548036276;142794795.0;146014340.0;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;178367052.5;1;11
12.01.2011;0.01757639269682265;0.07686600344631156;0.06572548084320284;0.049390202918742084;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;0.054024422494510116;141394505.0;142794795.0;146014340.0;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;178518172.5;2;12
13.01.2011;0.013087202376654837;0.09212183213023263;0.07686600344631156;0.06572548084320284;0.049390202918742084;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;0.0631363945779626;137131560.0;141394505.0;142794795.0;146014340.0;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;175523632.5;3;13
14.01.2011;-0.005722996264729163;0.0994754487481908;0.09212183213023263;0.07686600344631156;0.06572548084320284;0.049390202918742084;0.046753729238794506;0.05303818426942497;0.047524836276511266;0.04015500771227565;0.04464398312337603;0.05386716042809203;0.05784845450405296;0.06793407338106716;0.06753104111903196;0.06681391664062143;0.0665695941716824;0.06503977442495046;0.061915987373244885;0.05834615558684586;0.057764271886483476;0.058963017901849664;135765785.0;137131560.0;141394505.0;142794795.0;146014340.0;146904737.5;148538557.5;150141122.5;150694417.5;151775527.5;153683382.5;157070480.0;159113705.0;162014747.5;164239657.5;167000907.5;170000165.0;172002785.0;173407290.0;173135462.5;175148217.5;4;14
