Date,Return_1,Return_2,Return_3,Return_5,Return_10,Return_20,Return_40,Return_60,Return_120,Return_250,AverageVolume_1,AverageVolume_2,AverageVolume_3,AverageVolume_5,AverageVolume_10,AverageVolume_20,AverageVolume_40,AverageVolume_60,AverageVolume_120,AverageVolume_250,DayOfWeek,DayOfMonth
2011-01-03,-0.004185404370581458,0.0027162079919522686,0.00177789662544936,0.0007761396769492279,2.9826701200663663e-05,-0.011118226457533575,-0.039068713623110374,-0.027568314492916968,0.02138647960128659,0.053423715831352414,1217300.0,875350.0,726733.3333333334,652320.0,644880.0,954530.0,895690.0,837420.0,788264.1666666666,910297.6,0,3
2011-01-04,0.0025215640895539515,-0.0016743940463885831,0.005244621174038455,0.010829418974182214,0.0026451924855859232,-0.012537111907583554,-0.03336250535548446,-0.03149655739592949,0.02270584631064554,0.05446173653294739,1049900.0,1133600.0,933533.3333333334,751340.0,662600.0,981250.0,898875.0,843100.0,793370.8333333334,910568.8,1,4
2011-01-05,-0.0038195253734650825,-0.0013075924619320167,-0.0054875240293084104,0.00046797939929166255,-0.002857293220398849,-0.006461521000984738,-0.038348061266347266,-0.03519578086924402,0.021208936216440488,0.048224356825544934,869400.0,959650.0,1045533.3333333334,819900.0,689550.0,967120.0,897302.5,850140.0,796965.0,910579.6,2,5
2011-01-06,0.002899094003509406,-0.0009315045330622329,0.0015877107081119224,0.004308231252578398,0.0007786517666803494,0.006211551301936069,-0.026756355790532815,-0.029440299933315872,0.02815623295754377,0.05357971507004411,827900.0,848650.0,915733.3333333334,899580.0,695420.0,905600.0,894710.0,848535.0,799536.6666666666,909584.4,3,6
2011-01-07,0.0031702768506227663,0.0060785617847392,0.0022358191903031344,0.000557681501573537,0.007703508500054745,0.010630937597234658,-0.026047899355834625,-0.03219466109085789,0.0302417193495621,0.05208271056559455,979300.0,903600.0,892200.0,988760.0,737190.0,887805.0,895070.0,853670.0,803657.5,909209.6,4,7
2011-01-10,0.0028818324326536082,0.006061245489924927,0.008977911613887946,0.007658579702405799,0.008440663506930957,0.018506422956671154,-0.023328829511641724,-0.03243286081596575,0.027849170873004203,0.0598648985174417,639600.0,809450.0,815600.0,873220.0,762770.0,851295.0,899192.5,846715.0,804967.5,907018.0,0,10
2011-01-11,0.00037056780810451606,0.003253468155085981,0.006434059400485248,0.005496561511925346,0.016385505053637672,0.012780254837245097,-0.014884943007154372,-0.025823612047759736,0.029201098691491456,0.057522459942760173,567700.0,603650.0,728866.6666666666,776780.0,764060.0,786650.0,894450.0,841745.0,805681.6666666666,903305.2,1,11
2011-01-12,-0.000277952386490532,9.251242140750904e-05,0.0029746114593574013,0.009071254603638002,0.009543479163209856,0.022259098604466843,-0.0026475198693439728,-0.028273257545806785,0.031545585472576354,0.053805392308513555,534300.0,551000.0,580533.3333333334,709760.0,764830.0,731485.0,870432.5,841558.3333333334,804772.5,900424.0,2,12
2011-01-13,0.00305830427477094,0.0027795018253085058,0.0031510996273120817,0.009231444705641412,0.013579447156807145,0.0221977054096707,-0.001436142183716571,-0.025824226345736556,0.034308969703169545,0.05783383455035929,858200.0,696250.0,653400.0,715820.0,807700.0,708765.0,864950.0,844373.3333333334,807510.0,897258.0,3,13
2011-01-14,-0.004342568636628963,-0.0012975452580830105,-0.0015751369887725408,0.0016732065082805114,0.00223182112617204,0.013271644681705164,-0.005954650934673733,-0.02979481248937743,0.03128130527100148,0.051636617144016794,713500.0,785850.0,702000.0,662660.0,825710.0,706425.0,865687.5,847910.0,808975.8333333334,896030.0,4,14
2011-01-18,0.00018567854526296834,-0.00415769641319319,-0.0011121076391359397,-0.0010196981014991557,0.006631072161723761,0.006661096645932396,-0.007411593208684009,-0.02961466620155384,0.02806200542898729,0.04983372431355404,1125500.0,919500.0,899066.6666666666,759840.0,816530.0,730705.0,870525.0,857561.6666666666,814687.5,896480.0,1,18
2011-01-19,0.0003713653962269525,0.000557112896076406,-0.0037878750415422102,-0.0010189016218257185,0.00447205943466078,0.007129081378258295,-0.009858501638250639,-0.02951428244483656,0.02718239341291029,0.051222608602218056,569400.0,847450.0,802800.0,760180.0,768480.0,715540.0,859540.0,857938.3333333334,814860.0,895445.6,2,19
2011-01-20,-0.009460439149830302,-0.009092587033336819,-0.008908596786406875,-0.01019458273697349,-0.0012158057889204432,-0.004069625095681317,-0.022622268085479624,-0.041610085052661394,0.013830304659270043,0.04395684972133829,793100.0,681250.0,829333.3333333334,811940.0,760850.0,725200.0,862247.5,861835.0,812517.5,894092.0,3,20
2011-01-21,0.001872773897567459,-0.00760538251576226,-0.0072368414954266935,-0.011364449318691516,-0.0022379148985456343,-0.0014610056882546907,-0.021148789276113966,-0.03456413205722675,0.01389562570853986,0.04273170960578532,537400.0,665250.0,633300.0,747780.0,731800.0,713610.0,859865.0,856521.6666666666,809492.5,891840.0,4,21
2011-01-24,-0.0006542628391912331,0.001217285772008747,-0.008254669435795559,-0.007702155322514614,-0.006041836110647458,0.0016151290535730833,-0.016592457968877428,-0.029190053673743388,0.007926029909326004,0.04482886669349151,797300.0,667350.0,709266.6666666666,764540.0,713600.0,725395.0,860892.5,850006.6666666666,809281.6666666666,890553.6,0,24
2011-01-25,0.003927602055965984,0.0032707695327025554,0.005149668842075794,-0.003989742003400409,-0.005005371772553224,0.003393043075518465,-0.015615765238621737,-0.02888144513926194,0.015302698426911343,0.04753563086135726,589600.0,693450.0,641433.3333333334,657360.0,708600.0,735685.0,870902.5,847446.6666666666,802815.0,889335.2,1,25
