Date,Return_1,Return_2,Return_3,Return_5,Return_10,Return_20,Return_40,Return_60,Return_120,Return_250,AverageVolume_1,AverageVolume_2,AverageVolume_3,AverageVolume_5,AverageVolume_10,AverageVolume_20,AverageVolume_40,AverageVolume_60,AverageVolume_120,AverageVolume_250,DayOfWeek,DayOfMonth
2011-01-03,0.0038730347867752535,0.006378977958631182,0.006844194265468451,0.006360303756981045,0.009427184835077762,0.0035882348599021174,-0.02992804171136465,-0.027215887617418444,0.02578507792690421,0.08965641541467195,2447900.0,1681350.0,1308533.3333333333,1108400.0,1035790.0,1464210.0,1235565.0,1117203.3333333333,1114596.6666666667,1008420.8,0,3
2011-01-04,0.0012859635823085913,0.005163978950772696,0.007673144674286814,0.015748646984346193,0.011379193003403953,-0.0020861677833755587,-0.02557919047856627,-0.025017667821988665,0.025310664525980853,0.08970710633407397,962500.0,1705200.0,1441733.3333333333,1183940.0,988220.0,1478800.0,1248232.5,1113905.0,1113960.8333333333,1007214.4,1,4
2011-01-05,-0.00733919707179298,-0.006062671429642119,-0.0022131175802145853,0.0007400287347940626,0.0018266406547262637,-0.000109317469511927,-0.033245044480123,-0.03302815150099159,0.016011528832212685,0.07934586962184254,1209200.0,1085850.0,1539866.6666666667,1219460.0,1010620.0,1474150.0,1267650.0,1126386.6666666667,1117253.3333333333,1009232.8,2,5
2011-01-06,0.0014789376515396135,-0.005871113635134817,-0.004592700091148649,0.00175698113483036,0.004141742161676065,0.007863033555795429,-0.024550988840553845,-0.030141983743470657,0.017701377701517806,0.07981282337853468,1089700.0,1149450.0,1087133.3333333333,1324820.0,1044610.0,1337080.0,1258920.0,1132068.3333333333,1121495.0,1010321.6,3,6
2011-01-07,0.005075500759342377,0.00656194476005556,-0.0008254117175056086,0.00433430482453212,0.008772815990612859,0.010544388766657642,-0.017494260585899868,-0.024701279021899336,0.02174107575647688,0.08323713876889305,1118600.0,1104150.0,1139166.6666666667,1365580.0,1070340.0,1294645.0,1257637.5,1134101.6666666667,1122049.1666666667,1009423.6,4,7
2011-01-10,0.001744476102629955,0.006828830951755904,0.008317868018506092,0.002204768088072573,0.008579094839807455,0.017007375416732806,-0.011444594831758748,-0.015067335744561539,0.018575637115683996,0.08966928487208725,909200.0,1013900.0,1039166.6666666666,1057840.0,1083120.0,1273345.0,1260905.0,1128653.3333333333,1123130.8333333333,1008697.6,0,10
2011-01-11,-0.0004578135265812522,0.0012858639312920417,0.00636789109399416,0.0004593908466303809,0.0162152726152478,0.012780208260713133,-0.004918928071450446,-0.009241541268927511,0.01941109834079313,0.08524741322436391,845000.0,877100.0,957600.0,1034340.0,1109140.0,1232085.0,1248237.5,1121275.0,1123278.3333333333,1008584.8,1,11
2011-01-12,-0.0006427789433991471,-0.0011002981970855696,0.0006422584616336824,0.007208417686236146,0.007953780857250514,0.018346182951620715,0.005456049585731426,-0.01667700797299132,0.01745490017857043,0.08496107193045455,1291600.0,1068300.0,1015266.6666666666,1050820.0,1135140.0,1197840.0,1248175.0,1131758.3333333333,1128410.0,1010414.0,2,12
2011-01-13,0.004312930394771763,0.0036673791905303954,0.0032078866881486423,0.010058623755810236,0.011833277702822054,0.02915627132092813,0.004459088534294553,-0.01252408196600352,0.02091141264035601,0.08871153098029727,971000.0,1131300.0,1035866.6666666666,1027080.0,1175950.0,1116295.0,1216960.0,1136520.0,1132018.3333333333,1011009.6,3,13
2011-01-14,-0.0047510466321277756,-0.0004586071707828321,-0.0011010913311493287,0.00018335674651481781,0.004518456295077966,0.019302292961641765,-0.00031314343539645684,-0.018965749465906345,0.0194990896032039,0.08425845039203406,1629900.0,1300450.0,1297500.0,1129340.0,1247460.0,1103165.0,1226782.5,1153140.0,1136362.5,1013081.2,4,14
2011-01-18,-0.0005500449182583855,-0.0052984782613297865,-0.0010083998344974088,-0.0021075884910630727,9.253285316157545e-05,0.009520590012549235,-0.0015894240077825028,-0.016879692726734508,0.015317079328150518,0.08079263142934145,1422700.0,1526300.0,1341200.0,1232040.0,1144940.0,1090365.0,1237320.0,1162831.6666666667,1141738.3333333333,1013438.4,1,18
2011-01-19,-0.0007351191608853114,-0.001284759730584839,-0.006029702409321547,-0.002384436423932157,-0.0019261409655694228,0.009431134108035755,-0.005761268783519458,-0.018828649755931237,0.014200970968085702,0.08163428551004603,1685300.0,1554000.0,1579300.0,1400100.0,1217220.0,1102720.0,1262542.5,1180253.3333333333,1151507.5,1016164.4,2,19
2011-01-20,-0.004320649037268143,-0.005052592006258627,-0.005599857771959926,-0.006055896807813155,0.0011088674447674585,0.0029375336018491183,-0.015503106658784294,-0.026539030053212453,0.005150129072246656,0.07706387398381498,1699200.0,1692250.0,1602400.0,1481620.0,1266220.0,1138420.0,1286027.5,1196633.3333333333,1159031.6666666667,1019900.8,3,20
2011-01-21,0.0014771096607129053,-0.002849921448988879,-0.0035829455780099773,-0.008862439680083156,0.0011070401294266397,0.005253367365881223,-0.01458206007196483,-0.01987713467212826,0.008774444415658555,0.08152195092719383,1056600.0,1377900.0,1480366.6666666667,1498740.0,1262910.0,1153760.0,1293712.5,1204263.3333333333,1161469.1666666667,1020578.4,4,21
2011-01-24,0.0004613022177768489,0.0019390932724518972,-0.002389933906297048,-0.0036716231460403037,-0.0034889396163998443,0.005253268548955914,-0.005974263303555327,-0.01687970728963961,0.006760305430889346,0.08593928448990051,727200.0,891900.0,1161000.0,1318200.0,1223770.0,1147055.0,1295780.0,1187200.0,1158690.0,1017502.8,0,24
